,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
383,ucluelet,8,CA,1559447552,85,48.94,-125.55,293.15,0.45
384,bud,100,NO,1559447596,93,62.91,6.91,280.37,1.5
385,port elizabeth,1,US,1559447596,88,39.31,-74.98,295.37,1.92
386,shirokiy,0,RU,1559447596,86,53.87,39.17,287.315,2.02
387,teguise,0,ES,1559447596,68,29.06,-13.56,295.15,2.1
388,balotra,0,IN,1559447596,36,25.83,72.24,308.115,7.45
389,phayao,98,TH,1559447596,84,19.17,99.9,299.515,1.54
390,mandalgovi,0,MN,1559447597,29,45.76,106.27,286.515,9.98
391,pochutla,90,MX,1559447597,94,15.74,-96.47,298.15,0.36
392,praya,40,ID,1559447597,62,-8.71,116.27,303.15,7.7
393,semnan,0,IR,1559447424,34,35.58,53.39,288.415,1.02
394,tiarei,20,PF,1559447375,66,-17.53,-149.33,302.15,3.1
395,biak,93,ID,1559447597,91,-0.91,122.88,295.015,1.4
396,lusambo,100,CD,1559447597,92,-4.97,23.44,293.015,0.93
397,puerto el triunfo,40,SV,1559447597,83,13.27,-88.55,301.15,1.5
398,pangnirtung,55,CA,1559447598,56,66.15,-65.72,278.315,1.01
399,adeje,100,NG,1559447598,87,5.68,5.76,298.915,2.61
400,andrushivka,100,UA,1559447598,90,50.03,29.02,288.915,2.63
401,karak,16,JO,1559447598,42,31.18,35.7,292.15,2.6
402,padang,66,ID,1559447598,75,-0.92,100.36,300.815,1.05
403,republic,1,US,1559447598,26,48.65,-118.74,302.15,2.6
404,nicoya,75,CR,1559447599,88,10.15,-85.45,300.15,1.5
405,vila velha,20,BR,1559447599,83,-3.71,-38.6,303.15,2.6
406,lima,90,PE,1559447599,88,-12.06,-77.04,291.15,5.1
407,nerchinskiy zavod,26,RU,1559447599,25,51.31,119.61,294.915,0.56
408,muzhi,100,RU,1559447599,66,65.4,64.7,282.215,4.47
409,campbeltown,100,GB,1559447600,100,55.43,-5.61,287.15,11.3
410,ishinomaki,75,JP,1559447600,72,38.42,141.3,293.15,4.6
411,liverpool,100,GB,1559447600,72,53.41,-2.98,290.37,2.1
412,thessalon,1,CA,1559447600,66,46.26,-83.55,284.15,2.6
413,kang,0,BW,1559447600,47,-23.67,22.79,284.215,1.98
414,mogadishu,96,SO,1559447600,81,2.04,45.34,298.415,4.58
415,hede,100,SE,1559447600,100,60.45,15.49,281.48,3.1
416,saint-pierre,0,FR,1559447601,93,48.95,4.24,287.15,3.6
417,saint-joseph,0,FR,1559447601,77,43.56,6.97,292.15,1.5
418,kongolo,1,CD,1559447601,62,-5.39,27.0,295.315,0.99
419,gilbues,0,BR,1559447601,66,-9.83,-45.34,295.615,1.28
420,banjar,100,ID,1559447602,87,-7.37,108.54,297.815,0.77
421,umtata,0,ZA,1559447602,100,-31.59,28.78,280.15,0.5
422,young,0,UY,1559447602,95,-32.7,-57.63,284.82,0.72
423,markivka,34,UA,1559447602,83,49.52,39.57,292.615,6.29
424,sioux lookout,20,CA,1559447602,56,50.1,-91.92,281.15,1.0
425,gravdal,96,NO,1559447602,93,59.79,5.78,284.26,6.2
426,kaohsiung,40,TW,1559447305,66,22.62,120.31,305.15,4.6
427,stokmarknes,96,NO,1559447603,88,68.56,14.91,279.26,0.89
428,aquiraz,20,BR,1559447603,83,-3.9,-38.39,303.15,2.6
429,gat,75,SN,1559447492,94,14.69,-16.54,293.15,6.7
430,parlier,1,US,1559447603,39,36.61,-119.53,304.15,3.6
431,hamilton,75,CA,1559447487,93,43.26,-79.87,289.26,4.6
432,vieux-habitants,61,GP,1559447603,94,16.06,-61.77,296.15,1.5
433,botwood,75,CA,1559447603,100,49.14,-55.34,279.82,2.1
434,hlobyne,100,UA,1559447604,94,49.39,33.25,291.615,2.77
435,gopamau,1,IN,1559447604,35,27.53,80.29,308.915,7.98
436,dongsheng,40,CN,1559447604,53,29.72,112.52,302.515,3.09
437,boa vista,75,BR,1559447605,78,2.82,-60.67,301.15,0.5
438,porlamar,20,VE,1559447457,88,10.96,-63.85,300.15,5.62
439,usinsk,37,RU,1559447375,70,66.0,57.56,284.115,0.41
440,saint-augustin,0,FR,1559447605,72,44.83,-0.61,291.48,1.5
441,hofn,47,IS,1559447605,82,64.25,-15.21,268.815,4.06
442,orlik,100,RU,1559447606,66,52.51,99.83,277.115,1.88
443,takoradi,100,GH,1559447606,95,4.89,-1.75,296.815,1.45
444,walvis bay,0,NA,1559447606,100,-22.95,14.51,278.15,1.5
445,kuusamo,0,FI,1559447606,70,65.96,29.19,280.15,2.6
446,port-cartier,20,CA,1559447606,80,50.03,-66.88,278.71,4.1
447,vilyuysk,89,RU,1559447606,43,63.75,121.63,290.315,2.26
448,alofi,93,NU,1559447606,57,-19.06,-169.92,300.15,2.1
449,otavi,0,NA,1559447607,31,-19.64,17.34,288.215,4.06
450,touros,20,BR,1559447607,94,-5.2,-35.46,297.15,2.1
451,lasa,0,CY,1559447607,77,34.92,32.53,294.15,2.6
452,terney,77,RU,1559447539,53,45.05,136.61,292.315,2.88
453,salinas,90,US,1559447607,93,36.67,-121.66,290.93,2.1
454,onguday,100,RU,1559447607,91,50.75,86.14,282.615,1.5
455,deer lake,5,CA,1559447607,86,49.18,-57.43,276.15,2.6
456,omsukchan,75,RU,1559447608,48,62.53,155.8,287.815,5.21
457,skjervoy,100,NO,1559447608,89,70.03,20.97,277.615,5.1
458,ahipara,89,NZ,1559447609,100,-35.17,173.16,287.04,7.03
459,ternate,40,PH,1559447609,56,14.29,120.72,308.15,5.1
460,jiehu,0,CN,1559447609,32,35.54,118.45,303.615,5.72
461,tazovskiy,100,RU,1559447609,96,67.47,78.7,273.415,1.29
462,abay,0,KZ,1559447610,64,49.63,72.87,293.15,3.0
463,brunico,36,IT,1559447610,87,46.8,11.94,283.15,2.1
464,lubao,75,PH,1559447610,56,14.94,120.6,308.15,3.1
465,huaicheng,43,CN,1559447610,70,23.91,112.19,302.215,1.46
466,aras,98,YE,1559447610,60,14.28,44.38,294.415,0.81
467,shetpe,0,KZ,1559447610,28,44.14,52.16,299.815,0.61
468,north port,40,US,1559447610,78,27.04,-82.24,301.48,1.99
469,port hardy,20,CA,1559447610,58,50.7,-127.42,286.15,5.7
470,ornskoldsvik,0,SE,1559447611,70,63.29,18.72,280.15,4.1
471,karratha,0,AU,1559447611,10,-20.74,116.85,297.415,12.22
472,khvastovichi,0,RU,1559447611,77,53.47,35.09,289.15,1.04
473,golden gate,40,US,1559447611,73,38.36,-88.2,297.15,2.96
474,nome,1,US,1559447611,83,30.04,-94.42,301.48,3.03
475,llanes,38,ES,1559447611,90,43.42,-4.75,289.82,0.45
476,poronaysk,100,RU,1559447612,59,49.22,143.1,290.115,2.21
477,warrington,100,GB,1559447612,72,53.39,-2.59,290.37,2.1
478,kuminskiy,52,RU,1559447612,53,58.67,66.57,289.415,4.35
479,mantua,0,IT,1559447323,82,45.16,10.79,293.15,1.5
480,raudeberg,99,NO,1559447612,100,61.99,5.14,280.93,6.2
481,ghogha,7,IN,1559447612,50,21.69,72.28,306.515,3.94
482,alma,1,US,1559447612,72,40.1,-99.36,290.93,2.6
483,mount isa,0,AU,1559447613,24,-20.73,139.49,293.15,8.2
484,yabrud,0,SY,1559447543,55,33.97,36.66,292.04,3.6
485,klyuchi,0,RU,1559447613,44,52.25,79.17,289.315,2.64
486,sumenep,85,ID,1559447613,60,-7.02,113.87,302.915,2.67
487,palmer,75,AU,1559447613,87,-34.85,139.16,288.15,6.7
488,colorado,0,BR,1559447613,99,-22.84,-51.97,293.71,0.89
489,micheweni,1,TZ,1559447613,69,-4.97,39.83,300.615,7.81
490,maltahohe,0,NA,1559447613,44,-24.83,16.98,281.815,1.15
491,matamoros,75,US,1559447417,78,25.87,-97.51,301.48,1.5
492,patamundai,35,IN,1559447614,63,20.57,86.57,306.715,5.93
493,borsec,17,RO,1559447614,100,46.96,25.56,287.59,1.18
494,luau,59,CD,1559447563,53,-10.7,22.23,287.415,1.73
495,kearney,1,US,1559447614,72,40.7,-99.08,291.15,2.6
496,shchigry,88,RU,1559447614,91,51.87,36.91,289.82,3.13
497,broken hill,75,AU,1559447614,58,-31.97,141.45,286.15,7.7
498,sao felix do xingu,0,BR,1559447615,95,-6.64,-51.99,294.615,1.31
499,sangar,11,RU,1559447615,36,63.92,127.47,292.115,3.39
500,vostok,100,RU,1559447615,72,46.45,135.83,288.115,2.45
501,comodoro rivadavia,0,AR,1559447615,93,-45.87,-67.48,277.15,0.5
502,at-bashi,82,KG,1559447615,93,41.17,75.81,290.37,1.68
503,coahuayana,100,MX,1559447615,54,18.62,-100.35,302.915,1.58
504,sept-iles,20,CA,1559447348,80,50.2,-66.38,278.71,4.1
505,constitucion,75,MX,1559447615,59,23.99,-104.67,292.59,1.0
506,mehamn,99,NO,1559447616,93,71.03,27.85,276.415,5.88
507,tomatlan,26,MX,1559447616,79,19.93,-105.25,297.215,4.76
508,bukama,0,CD,1559447616,59,-9.2,25.85,291.115,1.86
509,nizhnevartovsk,90,RU,1559447475,61,60.93,76.58,283.15,2.0
510,deutschlandsberg,40,AT,1559447616,93,46.81,15.21,288.71,1.5
511,kotido,29,UG,1559447616,89,3.01,34.12,291.815,0.33
512,staraya toropa,95,RU,1559447616,86,56.28,31.67,285.815,2.73
513,petropavlovsk-kamchatskiy,40,RU,1559447618,62,53.05,158.65,287.15,2.0
514,borzna,73,UA,1559447618,87,51.25,32.43,287.815,2.19
515,verkhnyaya inta,100,RU,1559447618,89,65.99,60.32,280.615,4.21
516,dongli,40,CN,1559447618,74,24.18,117.61,303.15,2.0
517,zapolyarnyy,100,RU,1559447618,86,69.43,30.82,278.15,10.3
518,jiexiu,0,CN,1559447618,9,37.02,111.92,302.815,5.16
519,dudinka,90,RU,1559447618,92,69.41,86.18,272.15,6.0
520,meylan,0,FR,1559447619,81,45.21,5.78,289.26,2.1
521,suntar,0,RU,1559447619,32,62.16,117.65,291.215,3.07
522,te anau,21,NZ,1559447619,76,-45.41,167.72,279.015,0.92
523,bartica,20,GY,1559447619,94,6.41,-58.62,298.15,2.1
524,midland,98,US,1559447619,58,32.0,-102.08,301.15,4.6
525,bom jardim,40,BR,1559447620,94,-7.8,-35.59,295.15,3.1
526,mumbwa,0,ZM,1559447620,69,-14.99,27.06,284.615,1.2
527,aswan,0,EG,1559447620,15,24.09,32.9,305.15,2.6
528,ashqelon,75,IL,1559447371,88,31.67,34.57,295.15,4.6
529,veraval,0,FR,1559447620,93,49.65,0.71,294.15,3.6
530,krasnaya gora,0,RU,1559447620,77,53.01,31.6,289.15,2.0
531,estrela,98,BR,1559447620,96,-29.5,-51.96,289.82,1.83
532,winnemucca,90,US,1559447620,71,40.97,-117.74,290.37,6.2
