,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,esperance,40,TT,1559447549,83,10.24,-61.45,299.26,2.6
88,kampong thum,100,KH,1559447509,65,12.71,104.89,305.715,1.75
89,codrington,75,AU,1559447550,68,-28.95,153.24,293.15,1.5
90,guerrero negro,0,MX,1559447550,80,27.97,-114.04,291.515,5.09
91,jacareacanga,100,BR,1559447550,91,-6.22,-57.76,296.415,0.78
92,geraldton,40,CA,1559447544,60,49.72,-86.95,279.15,4.6
93,lata,44,IN,1559447550,56,30.78,78.62,280.415,2.36
94,mahebourg,75,MU,1559447550,94,-20.41,57.7,296.15,3.6
95,genhe,66,CN,1559447550,27,50.78,121.52,290.315,1.67
96,dikson,100,RU,1559447550,94,73.51,80.55,273.115,3.9
97,bambous virieux,75,MU,1559447551,94,-20.34,57.76,296.15,3.6
98,san antonio,20,CL,1559447552,100,-33.58,-71.61,282.15,0.5
99,tura,1,IN,1559447552,60,25.52,90.21,303.815,2.66
100,pevek,0,RU,1559447552,81,69.7,170.27,275.315,6.74
101,kyzyl-suu,80,KG,1559447363,58,42.34,78.0,288.715,2.86
102,namibe,0,AO,1559447553,79,-15.19,12.15,293.015,4.27
103,lucapa,52,AO,1559447553,40,-8.42,20.74,291.515,1.98
104,ilam,0,IR,1559447553,23,33.64,46.42,297.15,1.0
105,narsaq,13,GL,1559447553,69,60.91,-46.05,277.15,3.1
106,buchanan,20,LR,1559447553,94,5.88,-10.05,298.15,2.9
107,qaanaaq,100,GL,1559447528,93,77.48,-69.36,269.715,3.27
108,ribeira grande,99,PT,1559447553,93,38.52,-28.7,292.215,5.25
109,joshimath,1,IN,1559447554,20,30.57,79.57,292.715,1.22
110,beitbridge,0,ZA,1559447554,56,-22.21,29.99,286.515,1.73
111,saint-philippe,90,CA,1559447554,72,45.36,-73.48,289.26,2.1
112,komsomolskiy,100,RU,1559447336,99,67.55,63.78,274.615,3.2
113,hasaki,75,JP,1559447554,64,35.73,140.83,299.26,4.1
114,matnog,28,PH,1559447554,72,12.59,124.08,303.815,3.69
115,kodiak,1,US,1559447554,42,39.95,-94.76,295.37,2.6
116,richards bay,0,ZA,1559447554,83,-28.77,32.06,292.315,2.87
117,tabou,100,CI,1559447555,98,4.42,-7.36,296.115,0.76
118,mezen,1,RU,1559447555,50,65.85,44.24,283.815,6.77
119,la ronge,90,CA,1559447555,37,55.1,-105.3,286.15,4.1
120,riyadh,0,SA,1559447544,14,24.63,46.72,301.15,1.57
121,berlevag,99,NO,1559447470,92,70.86,29.09,276.915,7.0
122,mwingi,6,KE,1559447555,94,-0.93,38.07,289.815,2.1
123,ormara,0,PK,1559447555,58,25.21,64.64,304.115,2.75
124,flinders,40,AU,1559447555,48,-34.58,150.85,293.15,2.6
125,kapaa,40,US,1559447556,83,22.08,-159.32,302.15,6.7
126,grand-lahou,100,CI,1559447556,98,5.24,-5.0,295.515,0.75
127,salalah,75,OM,1559447556,74,17.01,54.1,302.15,2.1
128,belaya gora,0,RU,1559447556,32,68.54,146.19,290.915,4.12
129,virginia beach,1,US,1559447556,100,36.85,-75.98,294.82,1.86
130,paita,17,PE,1559447556,91,-5.09,-81.11,293.015,7.42
131,caravelas,0,BR,1559447556,88,-17.73,-39.27,297.615,2.74
132,kidal,100,ML,1559447557,12,18.44,1.41,304.915,5.72
133,xining,24,CN,1559447557,35,36.62,101.77,293.15,2.15
134,uruacu,0,BR,1559447557,67,-14.52,-49.14,293.615,2.05
135,lavrentiya,64,RU,1559447557,54,65.58,-170.99,284.315,1.67
136,rucheng,95,CN,1559447557,82,25.55,113.68,296.815,1.24
137,tessalit,52,ML,1559447260,14,20.2,1.01,303.115,4.71
138,hithadhoo,71,MV,1559447479,78,-0.6,73.08,302.215,4.64
139,chuy,1,UY,1559447557,75,-33.69,-53.46,288.615,4.33
140,katobu,98,ID,1559447558,87,-4.94,122.53,300.415,2.07
141,esik,90,KZ,1559447558,88,43.36,77.47,291.15,2.0
